0.31231,0.4229,0.26478
0.30558,0.42535,0.26906
0.36671,0.44667,0.18662
0.35496,0.43498,0.21007
0.35884,0.43878,0.20239
0.27784,0.42422,0.29795
0.28972,0.42519,0.28509
0.31639,0.43684,0.24677
0.31992,0.42768,0.2524
0.26656,0.42734,0.30609
0.33999,0.41285,0.24715
0.28535,0.43235,0.2823
0.23762,0.41939,0.34298
0.2512,0.42553,0.32326
0.30614,0.42721,0.26665
0.29775,0.42934,0.27291
0.22355,0.40778,0.36867
0.22142,0.40553,0.37305
0.22756,0.41078,0.36165
0.26688,0.42568,0.30744
0.3745,0.43725,0.18825
0.35953,0.41846,0.22201
0.36292,0.43955,0.19753
0.3341,0.42481,0.24108
0.34403,0.4261,0.22987
0.34408,0.42492,0.231
0.34213,0.42395,0.23392
0.36076,0.42341,0.21583
0.33743,0.42273,0.23984
0.37734,0.43526,0.1874
0.37151,0.43738,0.19112
0.35838,0.43375,0.20787
0.24457,0.41191,0.34353
0.24686,0.41281,0.34034
0.24117,0.40858,0.35025
0.24938,0.41369,0.33693
0.23383,0.40805,0.35812
0.2389,0.4087,0.3524
0.24412,0.41019,0.3457
0.45886,0.41014,0.131
0.39256,0.41187,0.19557
0.27867,0.41417,0.30715
0.24921,0.41063,0.34016
0.50753,0.38615,0.10633
0.28346,0.4249,0.29164
0.24848,0.41516,0.33636
0.25613,0.41326,0.33061
0.22618,0.40817,0.36565
0.24694,0.41119,0.34188
0.23743,0.41083,0.35174
0.39652,0.40175,0.20172
0.25293,0.41756,0.32951
0.38922,0.40306,0.20772
0.27599,0.42846,0.29555
0.24912,0.42173,0.32915
0.18978,0.39904,0.41118
0.18329,0.39517,0.42154
0.23554,0.41121,0.35325
0.22308,0.41078,0.36614
0.26666,0.41792,0.31543
0.30305,0.41125,0.2857
0.22425,0.40374,0.37201
0.29668,0.41375,0.28957
0.32905,0.4194,0.25154
0.3161,0.41256,0.27135
0.42336,0.39895,0.17769
0.26098,0.42363,0.31539
0.42172,0.40466,0.17361
0.45008,0.39967,0.15025
0.44958,0.4031,0.14732
0.33783,0.42321,0.23896
0.33983,0.42034,0.23984
0.34763,0.42241,0.22995
0.33936,0.42163,0.23902
0.30831,0.43021,0.26148
0.23533,0.40983,0.35484
0.23549,0.40871,0.3558
0.51708,0.3803,0.10262
0.46349,0.38846,0.14805
0.49372,0.4022,0.10408
0.50328,0.38126,0.11546
0.48879,0.3808,0.1304
0.47219,0.39615,0.13166
0.45245,0.39814,0.1494
0.47251,0.39036,0.13713
0.48466,0.39993,0.11541
0.20981,0.45008,0.34011
0.20891,0.4526,0.3385
0.20959,0.44982,0.34059
0.20895,0.45239,0.33866
0.21035,0.45316,0.33649
0.21461,0.45469,0.33071
0.22139,0.45698,0.32162
0.21405,0.45676,0.32919
0.21476,0.4535,0.33175
0.21479,0.45582,0.3294
0.22612,0.45938,0.31451
0.22567,0.46129,0.31304
0.21435,0.45397,0.33169
0.20882,0.4524,0.33878
0.22277,0.45541,0.32182
0.23792,0.46594,0.29614
0.20793,0.45225,0.33982
0.2116,0.45225,0.33615
0.21704,0.45508,0.32788
0.21685,0.45552,0.32763
0.21698,0.45728,0.32574
0.21553,0.45424,0.33024
0.21622,0.45468,0.32911
0.20861,0.45165,0.33974
0.21647,0.45436,0.32918
0.21627,0.45503,0.3287
0.21675,0.45583,0.32742
0.2148,0.45518,0.33002
0.21589,0.45196,0.33215
0.21198,0.45379,0.33423
0.2186,0.45718,0.32422
0.21389,0.45362,0.3325
0.21391,0.45278,0.33331
0.21534,0.45448,0.33018
0.22114,0.45695,0.32191
0.21537,0.47364,0.31099
0.23267,0.47717,0.29016
0.21336,0.45076,0.33589
0.21265,0.45163,0.33571
0.218,0.45566,0.32634
0.21705,0.45617,0.32678
0.21613,0.45516,0.32872
0.20836,0.45237,0.33927
0.20891,0.45176,0.33933
0.20872,0.45195,0.33933
0.21162,0.45295,0.33543
0.20915,0.45523,0.33562
0.21199,0.45334,0.33466
0.2112,0.44991,0.3389
0.23016,0.45765,0.31219
0.21332,0.45758,0.3291
0.21108,0.45843,0.33048
0.20716,0.45166,0.34118
0.21389,0.45325,0.33286
0.2196,0.45414,0.32626
0.21113,0.45349,0.33538
0.21898,0.45416,0.32687
0.20722,0.45321,0.33958
0.25466,0.47913,0.26621
0.24974,0.47963,0.27063
0.23267,0.45821,0.30912
0.22378,0.4575,0.31872
0.23336,0.45588,0.31076
0.23228,0.45737,0.31036
0.23067,0.4573,0.31203
0.22629,0.45599,0.31773
0.22713,0.45689,0.31597
0.21153,0.45299,0.33548
0.20938,0.45181,0.33882
0.20968,0.45375,0.33656
0.21051,0.45275,0.33673
0.21139,0.45132,0.33729
0.21235,0.456,0.33165
0.21101,0.45356,0.33543
0.21134,0.45321,0.33546
0.21137,0.45302,0.3356
0.21145,0.45311,0.33544
0.21118,0.45423,0.3346
0.21294,0.45183,0.33523
0.22711,0.48797,0.28492
0.20813,0.45536,0.33652
0.23197,0.4574,0.31062
0.23584,0.45675,0.30741
0.20897,0.45139,0.33964
0.20075,0.44809,0.35116
0.2038,0.44565,0.35055
0.22225,0.45594,0.32182
0.21744,0.44774,0.33483
0.23341,0.4586,0.30799
0.21962,0.45711,0.32326
0.23206,0.45743,0.31051
0.21803,0.46698,0.315
0.21894,0.46303,0.31803
0.21877,0.4603,0.32093
0.22926,0.45662,0.31412
0.23215,0.45727,0.31058
0.21202,0.4529,0.33508
0.21381,0.45303,0.33316
0.21346,0.45292,0.33362
0.21519,0.45383,0.33098
0.21476,0.45423,0.33101
0.21848,0.45423,0.32729
0.21894,0.45409,0.32696
0.21329,0.45243,0.33428
0.21387,0.45151,0.33462
0.26265,0.45867,0.27868
0.21363,0.45329,0.33307
0.21789,0.45503,0.32709
0.23252,0.46105,0.30643
0.21968,0.45794,0.32239
0.23071,0.46404,0.30525
0.20772,0.45802,0.33426
0.24692,0.46077,0.29231
0.23903,0.45838,0.30259
0.21294,0.45314,0.33393
0.21477,0.45502,0.33021
0.21357,0.45363,0.3328
0.21579,0.45444,0.32977
0.21394,0.45259,0.33347
0.21177,0.45193,0.3363
0.21578,0.45335,0.33087
0.21551,0.45179,0.3327
0.21265,0.45268,0.33467
0.2698,0.45608,0.27412
0.24238,0.45384,0.30377
0.20673,0.45135,0.34192
0.21679,0.45557,0.32765
0.27457,0.48176,0.24367
0.22503,0.46043,0.31454
0.24184,0.46336,0.29479
0.24997,0.46638,0.28364
0.21645,0.45536,0.32819
0.23225,0.46061,0.30714
0.20402,0.44683,0.34915
0.2386,0.45845,0.30295
0.20962,0.44884,0.34155
0.20733,0.45125,0.34142
0.19391,0.44551,0.36058
0.23668,0.4581,0.30521
0.19748,0.44794,0.35457
0.20839,0.45106,0.34055
0.232,0.45867,0.30932
0.21027,0.45828,0.33145
0.1908,0.44543,0.36376
0.19855,0.44787,0.35358
0.19623,0.44681,0.35696
0.18922,0.4446,0.36618
0.18493,0.44477,0.3703
0.2021,0.44994,0.34796
0.17352,0.43606,0.39042
0.21093,0.45141,0.33766
0.2062,0.45145,0.34235
0.23265,0.45806,0.30929
0.25942,0.47032,0.27026
0.29598,0.47303,0.23099
0.32325,0.47759,0.19916
0.33141,0.48071,0.18788
0.26626,0.46409,0.26965
0.24539,0.46797,0.28664
0.22981,0.46759,0.3026
0.22041,0.45902,0.32057
0.23876,0.45879,0.30245
0.2104,0.45728,0.33231
0.2368,0.45864,0.30455
0.24305,0.45933,0.29763
0.23645,0.45746,0.30609
0.23183,0.45808,0.31009
0.227,0.45844,0.31456
0.22043,0.45602,0.32356
0.2145,0.45419,0.33132
0.23569,0.45897,0.30533
0.23175,0.45781,0.31044
0.18754,0.45513,0.35733
0.19204,0.44662,0.36134
0.1783,0.4387,0.38299
0.21248,0.47001,0.31751
0.21078,0.47071,0.31851
0.20705,0.45402,0.33893
0.24333,0.46154,0.29513
0.21096,0.47515,0.31389
0.20138,0.45743,0.34119
0.21439,0.45663,0.32898
0.20979,0.45326,0.33696
0.20417,0.45313,0.3427
0.24481,0.46035,0.29484
0.20804,0.4533,0.33866
0.20649,0.45427,0.33924
0.20523,0.45036,0.3444
0.20589,0.45058,0.34353
0.20388,0.44943,0.34669
0.20685,0.45133,0.34182
0.20712,0.45194,0.34094
0.20687,0.45147,0.34166
0.22886,0.45587,0.31528
0.24025,0.45731,0.30245
0.21918,0.45514,0.32568
0.20297,0.45135,0.34568
0.20619,0.45649,0.33732
0.20856,0.4521,0.33934
0.20036,0.44964,0.35001
0.20008,0.44815,0.35177
0.19878,0.44886,0.35237
0.19861,0.44725,0.35413
0.19955,0.44946,0.35099
0.19667,0.44818,0.35515
0.20298,0.45652,0.3405
0.20331,0.45214,0.34455
0.20543,0.45266,0.34192
0.20158,0.44845,0.34997
0.20323,0.45066,0.34611
0.22933,0.45725,0.31342
0.20323,0.45629,0.34048
0.20982,0.45403,0.33615
0.20281,0.44905,0.34814
0.19493,0.44762,0.35745
0.19683,0.44623,0.35695
0.21036,0.45298,0.33666
0.2016,0.45099,0.34741
0.19781,0.44751,0.35468
0.19074,0.44618,0.36308
0.19908,0.4486,0.35232
0.21816,0.45577,0.32607
0.24175,0.46028,0.29797
0.25161,0.4601,0.28828
0.30308,0.4777,0.21922
0.28621,0.47445,0.23934
0.32859,0.47529,0.19612
0.37322,0.47443,0.15235
0.373,0.47581,0.15119
0.37709,0.47644,0.14647
0.37242,0.48012,0.14746
0.2183,0.47447,0.30723
0.20392,0.47116,0.32492
0.37098,0.4755,0.15352
0.37498,0.47476,0.15026
0.29644,0.46962,0.23395
0.31459,0.47392,0.21149
0.36988,0.47816,0.15196
0.35632,0.47385,0.16983
0.38102,0.47511,0.14387
0.37582,0.47457,0.14962
0.33703,0.47318,0.18979
0.26203,0.46915,0.26883
0.37893,0.47126,0.14981
0.37963,0.46956,0.15081
0.34879,0.47374,0.17747
0.21709,0.46752,0.3154
0.20251,0.46135,0.33614
0.35058,0.49418,0.15524
0.3426,0.48283,0.17457
0.3837,0.47186,0.14444
0.28199,0.48023,0.23778
0.27579,0.48135,0.24286
0.30068,0.48397,0.21535
0.26322,0.4805,0.25629
0.28878,0.48472,0.2265
0.28007,0.48268,0.23724
0.34277,0.46699,0.19024
0.37605,0.47605,0.1479
0.38211,0.4772,0.14069
0.27159,0.47634,0.25207
0.36062,0.47276,0.16662
0.21275,0.47222,0.31504
0.20783,0.474,0.31817
0.21043,0.47426,0.31531
0.37836,0.47578,0.14585
0.38025,0.47573,0.14402
0.37402,0.47586,0.15012
