CorrectedMoment,GeneralGrayWorld,GrayWorld,MaxRGB,ShadesOfGray,WhitePatch,RegressionTree
431.98148108454836,445.1213317737086,444.6785355737333,448.4038358444316,445.1213317737086,442.60591952661457,584.9017011430211
749.5165108254788,798.2280375932683,798.9937421532161,779.043644476996,798.7865797570713,766.9895696813614,865.7482313005323
885.011864327253,880.4674894622742,880.0028409045052,883.5932322058607,880.4674894622742,878.2123888900679,807.4695040681103
619.9725800388272,626.4375467674331,626.4375467674331,621.950962697221,626.4375467674331,601.8322025282463,775.225773565353
929.2238696891078,948.6806628154703,948.6806628154703,938.9403601933406,948.6806628154703,932.0,697.7105417004963
799.0613243049622,703.8103437716726,703.8103437716726,680.7525247841538,703.5694706281676,688.1417005239546,553.4808036418247
697.5772358671117,714.1869503148317,714.1869503148317,664.0978843513959,714.1869503148317,654.0252288711805,618.7398484015717
857.9323982692342,739.6208488137689,738.9742891332553,692.5611886324558,739.0067658688924,688.6072901153458,668.740607410676
768.5310663857382,675.9349081087616,677.1905197210015,598.4956140190169,677.1905197210015,614.7682490174651,625.6348775444029
814.3930255104104,816.4716774022232,816.4716774022232,605.449419852724,816.4716774022232,672.9613659044626,710.8199490728999
662.6454557302872,628.4695696690493,627.9745217761625,604.2946301267289,627.9745217761625,619.1607222684592,633.6260726958764
777.3557744044872,726.3986508798044,746.9638545471929,635.8451069246346,726.4316898373859,742.3752420440757,794.6319902948786
739.9864863630957,606.4198215757793,707.9343189872914,727.2338000945775,707.9343189872914,594.7251466013523,789.236973284957
735.8600410404141,761.9343803766831,761.9343803766831,617.6390531694058,762.166648443764,727.2159239180617,839.7547260956618
657.6252732369704,706.2690705389838,716.9909343917816,690.0413031116326,716.9909343917816,651.5765496087164,871.79986235374
779.9891024879771,797.4352638302372,797.4352638302372,624.1265897235912,797.4352638302372,785.0827981811855,705.029786604793
771.0907858352348,773.4752743300849,774.6637980440289,858.2790921372838,775.0161288644256,747.9184447518326,866.3867496678374
743.2099299659552,738.8274494088589,738.8274494088589,707.1407214974965,738.8274494088589,738.1937415069299,743.6645749260886
674.407147055842,671.2778858267268,667.0697114994804,726.975240293643,671.4737522792682,648.0239193116254,684.4223842043742
862.9971031237591,872.7576983332774,873.6526769832506,810.8908681197489,872.7576983332774,868.333461292377,802.8343540232942
778.0257065161793,794.4778159269143,794.4778159269143,678.9160478291849,794.7792146250429,770.1837443104081,843.6616620423142
726.0137739740204,739.6269329871648,739.6269329871648,689.2154960533027,739.7675310528301,716.4118926986067,637.4252897399035
734.1416757002697,757.7097069458725,757.7097069458725,829.6475155148721,756.7668068830715,741.2516441803012,788.4174021417842
780.1820300417077,773.8598064249105,773.9392741035953,801.726886165108,773.9030947088918,732.924279854338,808.2165551385347
836.0801396995386,828.4370827045346,828.4557924234703,840.8531381876386,828.5789039071656,806.0459043999914,699.7899684905465
882.2119926638948,794.5589971801968,795.0547150982754,956.5855947065061,794.0510059183856,760.269688992005,626.0167729382337
791.8484703527563,681.5423684555495,681.4191074515008,754.5309801459447,681.4359837871787,671.5065152327265,614.5844124284312
869.3388292259814,808.375531544591,808.4423294212148,586.5381488019343,808.4423294212148,760.2407513413103,819.9768289409159
884.7711568535674,751.7246836442182,751.7246836442182,692.7517592904402,751.7246836442182,729.4977724434805,820.3151833289446
717.5437268905638,824.6005093377034,824.8648374127728,871.0396087434831,824.8648374127728,795.8140486319653,617.9385082676107
629.0461032388644,717.9408053593277,717.9408053593277,879.4356144710083,717.9408053593277,700.1599817184641,628.6413922102171
649.9415358322624,737.7540240486662,736.4332963683812,831.082426718313,737.7540240486662,674.0689875672964,636.9623222766006
797.1047609944379,730.0260269332869,729.4347126371215,637.0133436592988,729.4162049200717,688.3407586363022,633.7523175500031
741.2084726984709,676.0488148055582,676.0488148055582,691.9262966530467,676.0488148055582,672.3592789573146,787.8007362271248
745.1067037679906,597.5499979081249,597.5031380670732,642.8779044266493,597.5031380670732,697.1814684857882,613.5299503691731
632.2918629873391,698.9699564358972,698.9699564358972,809.1779779504631,698.9799711007462,678.2610117056707,654.063452579335
590.2906063965443,609.6097112087373,609.6097112087373,523.3430996965566,609.6097112087373,848.999411071645,622.9518440457497
706.4276325286264,613.509576127382,613.509576127382,642.815681202629,613.509576127382,729.9520532199358,774.2002324980276
735.9211914328871,779.3869385613285,768.290960509103,731.8237492730063,779.3869385613285,490.54867240672456,799.5636309888038
645.227091805668,750.7749329859116,750.4265453726966,618.6129646232772,749.3797435212671,418.59288097147567,712.8204542519807
691.4202774000775,571.2372536871173,571.4604098273126,661.2495746690504,571.2372536871173,614.023615181045,748.1189744953673
